GlyCosmos Lectin Number,Lectin Name,Short name,UniProt ID,PDB IDs,LfDB ID,Monosaccharide Specificity,Organism,Taxonomy ID,MCAW IDs
GL_001367,"Beta-glucuronidase","",Q4FAT7,"","","",Sus scrofa,9823,""
GL_000549,"Hypnin-A3","HypninA3",P85888,"","LfDB0258","",Hypnea japonica,105606,""
GL_001951,"Ricin B-related lectin","",Q75WT9,"3PHZ|5MUA","","",Cerioporus squamosus,2829415,"2724"
GL_001942,"OAA-family lectin sugar binding domain-containing protein","",Q3KJ04,"4FBO","","",Pseudomonas fluorescens Pf0-1,205922,""
GL_000513,"Galectin-9","",P97840,"","","",Rattus norvegicus,10116,""
GL_000495,"Galectin-3","",P08699,"7CXD","","",Rattus norvegicus,10116,""
GL_002424,"Alpha-L-arabinofuranosidase B","ABD",Q8NK89,"1WD3|1WD4|2D43|2D44|6SXR|6SXS|6SXT","LfDB0115","Others",Aspergillus luchuensis IFO 4308,1033177,""
GL_005176,"Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3","",Q5U367,"","","",Rattus norvegicus,10116,""
GL_004831,"Ribose import binding protein RbsB","",P0A2C6,"","","",Salmonella enterica subsp. enterica serovar Typhi,90370,""
GL_002818,"Wall-associated receptor kinase-like 1","",Q9S9M5,"","","",Arabidopsis thaliana,3702,""
GL_003916,"ATP-dependent 6-phosphofructokinase","",Q1J694,"","","",Streptococcus pyogenes MGAS10750,370554,""
GL_001754,"Probable alpha/beta-glucosidase agdC","",Q2UQV7,"","","",Aspergillus oryzae RIB40,510516,""
GL_004047,"D-ribose pyranase","",B1IWZ0,"","","",Escherichia coli ATCC 8739,481805,""
GL_000020,"Adhesion G protein-coupled receptor L2","",O95490,"","","",Homo sapiens,9606,""
GL_002524,"Glucokinase","",C4LCT4,"","","",Tolumonas auensis DSM 9187,595494,""
GL_000595,"Jacalin-related lectin 47","",Q9LTA7,"","","",Arabidopsis thaliana,3702,""
GL_002920,"4-O-methyl-glucuronoyl methylesterase 1","",A0A1D8EJG8,"","","",Sodiomyces alcalophilus,398408,""
GL_003367,"D-ribose pyranase","",A8FI51,"","","",Bacillus pumilus SAFR-032,315750,""
GL_005311,"","",,"","","",,,""
