GlyCosmos Lectin Number,Lectin Name,Short name,UniProt ID,PDB IDs,LfDB ID,Monosaccharide Specificity,Organism,Taxonomy ID,MCAW IDs
GL_000937,"Probable alpha-galactosidase A","",B8MWJ5,"","","",Aspergillus flavus NRRL3357,332952,""
GL_004548,"Maltotriose-binding protein","",Q9V297,"","","",Pyrococcus abyssi GE5,272844,""
GL_002742,"Probable xyloglucan endotransglucosylase/hydrolase protein 17","",O80803,"","","",Arabidopsis thaliana,3702,""
GL_001821,"Ribose-5-phosphate isomerase","",P47968,"","","",Mus musculus,10090,""
GL_003469,"Glucose-6-phosphate isomerase","",Q39FF4,"","","",Burkholderia lata,482957,""
GL_000725,"Lectin MVL","",Q9RHG4,"1ZHQ|1ZHS","","",Microcystis viridis,44822,""
GL_002706,"Solute carrier family 2, facilitated glucose transporter member 3","",Q07647,"","","",Rattus norvegicus,10116,""
GL_003955,"D-ribose pyranase","",C1EXK2,"","","",Bacillus cereus 03BB102,572264,""
GL_002006,"E-selectin","",P98110,"","","",Sus scrofa,9823,""
GL_004172,"Glucose-6-phosphate isomerase","",Q6YQU0,"","","",Onion yellows phytoplasma OY-M,262768,""
GL_002375,"Coxsackievirus and adenovirus receptor","",P78310,"1EAJ|1F5W|1JEW|1KAC|1P69|1P6A|1RSF|2J12|2J1K|2NPL|2W9L|2WBW|3J6L|3J6M|3J6N|3J6O|7DPZ|7DQ1|7VXZ|7VYK|7VYL|7VYM|7W14","","",Homo sapiens,9606,""
GL_000389,"Ficolin-1-B","",Q7ZT72,"","","",Xenopus laevis,8355,""
GL_001568,"Glucans biosynthesis protein G","",A3D3T9,"","","",Shewanella baltica OS155,325240,""
GL_000607,"Killer cell lectin-like receptor 6","",Q60653,"","","",Mus musculus,10090,""
GL_004533,"Fructose-bisphosphate aldolase A","",P05065,"","","",Rattus norvegicus,10116,""
GL_001363,"Beta-glucuronidase","",P08236,"1BHG|3HN3","","",Homo sapiens,9606,""
GL_000788,"Myrosinase-binding protein 2","",Q9M5W9,"","","",Arabidopsis thaliana,3702,""
GL_001553,"Glucans biosynthesis protein D","",Q9PA38,"","","",Xylella fastidiosa 9a5c,160492,""
GL_004976,"1-aminocyclopropane-1-carboxylate oxidase 1","",Q08506,"1W9Y|1WA6|5TCV|5TCW","","",Petunia x hybrida,4102,""
GL_003851,"ATP-dependent 6-phosphofructokinase","",B8DHH7,"","","",Listeria monocytogenes HCC23,552536,""
GL_004702,"Autoinducer 2-binding protein LsrB","",B1IRU4,"","","",Escherichia coli ATCC 8739,481805,""
GL_002111,"FimH (Fragment)","",A2IC68,"3ZPD|4BUQ|4CA4","","",Escherichia coli,562,""
GL_003328,"L-fucose mutarotase","",A5UAS6,"","","",Haemophilus influenzae PittEE,374930,""
GL_000949,"Probable L-type lectin-domain containing receptor kinase S.5","",Q9FG33,"","","",Arabidopsis thaliana,3702,""
GL_005255,"Isopenicillin N synthase","",P10621,"","","",Streptomyces clavuligerus,1901,""
GL_000531,"Glycoprotein 42","",P0C6Z5,"5T1D|6C5V|7S07|7S1B|7YOY|8KHR","","",human gammaherpesvirus 4,10376,""
GL_004782,"Autoinducer 2-binding protein LsrB","",Q1C135,"","","",Yersinia pestis Antiqua,360102,""
GL_000467,"Galectin a","",C0HM19,"","","",Aplysina lactuca,2911866,""
GL_002387,"","",,"","","",,,""
GL_002030,"L-selectin","",P30836,"","","",Rattus norvegicus,10116,""
GL_002774,"Arabinogalactan endo-beta-1,4-galactanase","",P83691,"1HJQ","","",Humicola insolens,34413,""
GL_000776,"Microneme antigen L2","",P81860,"2YIL|2YIO|2YIP","","",Sarcocystis muris,5813,""
GL_002802,"Stalk-specific protein B","",Q54VL1,"","","",Dictyostelium discoideum,44689,""
GL_003217,"Alpha-amylase","",P09794,"","","",Streptomyces limosus,1947,""
GL_004863,"N-acetylmuramic acid 6-phosphate etherase","",Q65R16,"","","",[Mannheimia] succiniciproducens MBEL55E,221988,""
GL_001507,"GlcNAc-binding protein A","",A1JQE6,"","","",Yersinia enterocolitica subsp. enterocolitica 8081,393305,""
GL_000610,"Killer cell lectin-like receptor subfamily B member 1","",Q0ZUP1,"","","",Mus musculus,10090,""
GL_001244,"Alpha-mannosidase F","",Q54KN4,"","","",Dictyostelium discoideum,44689,""
GL_003683,"Glucose-6-phosphate isomerase","",Q5QWW0,"","","",Idiomarina loihiensis L2TR,283942,""
GL_002530,"Hexokinase-2, chloroplastic","",Q6Q8A5,"","","",Nicotiana tabacum,4097,""
GL_000544,"Hemolymph 65 kDa lectin BG06 (Fragment)","",P80745,"","","",Biomphalaria glabrata,6526,""
GL_005246,"PKHD-type hydroxylase YbiX","",B7LJV5,"","","",Escherichia fergusonii ATCC 35469,585054,""
GL_000486,"Galectin-2","",Q9P4R8,"1UL9|1ULC|1ULD|1ULE|1ULF|1ULG|2WKK","","",Coprinopsis cinerea,5346,"2107|2108|5314|5356"
GL_004036,"Glucose-6-phosphate isomerase","",P06745,"1U0E|1U0F|1U0G|2CVP|2CXN|2CXO|2CXP|2CXQ|2CXR|2CXS|2CXT|2CXU","","",Mus musculus,10090,""
GL_004290,"ATP-dependent 6-phosphofructokinase 1","",Q9TZL8,"","","",Caenorhabditis elegans,6239,""
GL_005121,"PKHD-type hydroxylase mma_3618","",A6T461,"","","",Janthinobacterium sp. Marseille,375286,""
GL_002011,"Fucose-specific lectin","AOL",Q2UNX8,"5EO7|5EO8|5H47","LfDB0129","Fuc",Aspergillus oryzae RIB40,510516,""
GL_004990,"PKHD-type hydroxylase blr3905","",Q89ND7,"","","",Bradyrhizobium diazoefficiens USDA 110,224911,""
GL_002243,"Hemagglutinin","",Q82500,"1RV0|1RVT","","",Influenza A virus (A/swine/St-Hyacinthe/148/1990(H1N1)),382853,""
GL_002909,"Probable mannan endo-1,4-beta-mannosidase F","",Q5AR04,"","","",Aspergillus nidulans FGSC A4,227321,""
GL_002525,"Glucokinase","",B2VE30,"","","",Erwinia tasmaniensis Et1/99,465817,""
GL_000182,"C-type lectin domain family 4 member E","",Q9R0Q8,"","","",Mus musculus,10090,""
GL_003008,"Endoglucanase 3","",Q12624,"","","",Humicola insolens,34413,""
GL_002014,"Galactose/N-acetylgalactosamine-binding lectin CEL-III","",Q868M7,"1VCL|2Z48|2Z49|3W9T","","",Cucumaria echinata,40245,""
GL_003568,"ATP-dependent 6-phosphofructokinase","",A7GIW9,"","","",Clostridium botulinum F str. Langeland,441772,""
GL_000619,"Killer cell lectin-like receptor subfamily B member 1B allele C","",Q5NKN2,"","","",Rattus norvegicus,10116,""
GL_000539,"Halomucin","",Q18DN4,"","","",Haloquadratum walsbyi DSM 16790,362976,""
GL_000799,"Natural killer cells antigen CD94","",Q9MZK9,"","","",Macaca mulatta,9544,""
GL_003819,"ATP-dependent 6-phosphofructokinase","",B5FBT1,"","","",Aliivibrio fischeri MJ11,388396,""
GL_003765,"Glucose-6-phosphate isomerase, glycosomal","",P13377,"2O2C|2O2D|3CV0","","",Trypanosoma brucei brucei,5702,""
GL_004272,"Glucose-6-phosphate isomerase","",B0TJ99,"","","",Shewanella halifaxensis HAW-EB4,458817,""
GL_005126,"PKHD-type hydroxylase CYA_2611","",Q2JRM5,"","","",Synechococcus sp. JA-3-3Ab,321327,""
GL_004186,"Glucose-6-phosphate isomerase","",P78033,"","","",Mycoplasmoides pneumoniae M129,272634,""
GL_004912,"2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2","",A3KGZ2,"","","",Danio rerio,7955,""
GL_002786,"Chitinase 63","",P11220,"","","",Streptomyces plicatus,1922,""
GL_003712,"ATP-dependent 6-phosphofructokinase","",Q59214,"","","",Paenibacillus macquariensis subsp. macquariensis,1468,""
GL_002843,"Beta-hexosaminidase B","",P49007,"","","",Pseudoalteromonas piscicida,43662,""
GL_005309,"C-type lectin mosGCTL-7","",B0WSV2,"","","",Culex quinquefasciatus,7176,""
GL_003340,"Glucose-6-phosphate isomerase","",P64194,"","","",Staphylococcus aureus subsp. aureus Mu50,158878,""
GL_000153,"C-type lectin domain family 2 member D","",Q9UHP7,"4QKG|4QKH|4QKI|4QKJ|4WCO|5MGT","","",Homo sapiens,9606,""
GL_004941,"PKHD-type hydroxylase PiuC","",Q9HVQ7,"","","",Pseudomonas aeruginosa PAO1,208964,""
GL_003919,"ATP-dependent 6-phosphofructokinase","",A7Z7K6,"","","",Bacillus velezensis FZB42,326423,""
GL_005127,"PKHD-type hydroxylase CYB_2270","",Q2JHA7,"","","",Synechococcus sp. JA-2-3B'a(2-13),321332,""
GL_003562,"Alpha-protein kinase 1","",Q9CXB8,"","","",Mus musculus,10090,""
GL_001139,"Techylectin-like protein (Fragments)","",P85031,"","","",Phoneutria nigriventer,6918,""
GL_001093,"Seed agglutinin 2","",Q41161,"","","",Robinia pseudoacacia,35938,""
GL_002716,"Glucokinase","",Q3MEM9,"","","",Trichormus variabilis ATCC 29413,240292,""
GL_004067,"Glucose-6-phosphate isomerase","",B1IUM7,"","","",Escherichia coli ATCC 8739,481805,""
GL_004581,"Membrane glycoprotein US3","",F5HEU0,"","","",Human herpesvirus 5 strain Merlin,295027,""
GL_003274,"L-fucose mutarotase","",B7N738,"","","",Escherichia coli UMN026,585056,""
GL_002153,"Outer capsid protein VP4","",E2EA82,"5JDB|6K2N|6K2O","","",Rotavirus A,28875,""
GL_003200,"Glucoamylase","",P69327,"1AGM|1DOG|1GAH|1GAI|1GLM|3GLY","","",Aspergillus awamori,105351,""
GL_002386,"Trefoil factor 3","",Q07654,"1E9T|1PE3|6V1C","","",Homo sapiens,9606,""
GL_001295,"Beta-galactosidase","",Q669R9,"","","",Yersinia pseudotuberculosis IP 32953,273123,""
GL_000097,"Beta-galactoside-binding lectin","",P08520,"","","",Electrophorus electricus,8005,""
GL_001530,"Glucans biosynthesis protein D","",B7URH4,"","","",Escherichia coli O127:H6 str. E2348/69,574521,""
GL_001422,"D-galactose/methyl-galactoside binding periplasmic protein MglB","",P0AEE5,"1GLG|2FVY|2FW0|2GBP|2HPH|2IPL|2IPM|2IPN|2QW1|8FXT","","",Escherichia coli K-12,83333,""
GL_004266,"ATP-dependent 6-phosphofructokinase","",Q27665,"","","",Haemonchus contortus,6289,""
GL_001498,"Galactose mutarotase","",Q5EA79,"","","",Bos taurus,9913,""
GL_002842,"Vitronectin","",P29788,"","","",Mus musculus,10090,""
GL_004103,"ATP-dependent 6-phosphofructokinase","",P65692,"","","",Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,""
GL_004463,"Glucose-6-phosphate isomerase","",Q39SU1,"","","",Geobacter metallireducens GS-15,269799,""
GL_003188,"Alpha-amylase","",P23671,"","","",Clostridium acetobutylicum ATCC 824,272562,""
GL_000830,"NKG2-E type II integral membrane protein","",Q95MI4,"","","",Pan troglodytes,9598,""
GL_004964,"1-aminocyclopropane-1-carboxylate oxidase 2","",O48882,"","","",Malus domestica,3750,""
GL_001854,"Transcriptional regulator LsrR","",A6TEB9,"","","",Klebsiella pneumoniae subsp. pneumoniae MGH 78578,272620,""
GL_003928,"Glucose-6-phosphate isomerase","",A9MHA7,"","","",Salmonella enterica subsp. arizonae serovar 62:z4,z23:-,41514,""
GL_000118,"C-type lectin 13","",J3RY43,"","","",Crotalus adamanteus,8729,""
GL_002402,"Fibrinogen C domain-containing protein 1","",Q8N539,"4M7F|4M7H|6ZQR|6ZQX|6ZQY|6ZR0|6ZR3|6ZR4","","",Homo sapiens,9606,""
GL_000295,"Calreticulin-3","",Q96L12,"","","",Homo sapiens,9606,""
GL_002944,"1,4-beta-D-glucan cellobiohydrolase xynA","",Q8WZJ4,"","","",Talaromyces funiculosus,28572,""
GL_000893,"Polypeptide N-acetylgalactosaminyltransferase 11","",Q6DJR8,"","","",Xenopus tropicalis,8364,""
GL_004277,"D-ribose pyranase","",B0BS95,"","","",Actinobacillus pleuropneumoniae serovar 3 str. JL03,434271,""
GL_004904,"Phytanoyl-CoA dioxygenase, peroxisomal","",P57093,"","","",Rattus norvegicus,10116,""
GL_001668,"Isomalto-dextranase","",Q44052,"","","",Arthrobacter globiformis,1665,""
GL_003443,"ATP-dependent 6-phosphofructokinase","",O34529,"4A3S","","",Bacillus subtilis subsp. subtilis str. 168,224308,""
GL_001245,"Alpha-mannosidase G","",Q54K67,"","","",Dictyostelium discoideum,44689,""
GL_004627,"Lactose-binding lectin-2","",P86795,"","","",Cymbosema roseum,202239,""
GL_002757,"Stalk-specific protein A","",P08797,"","","",Dictyostelium discoideum,44689,""
GL_003714,"D-ribose pyranase","",B1LL75,"","","",Escherichia coli SMS-3-5,439855,""
GL_003998,"ATP-dependent 6-phosphofructokinase","",Q1CD33,"","","",Yersinia pestis Nepal516,377628,""
GL_003813,"D-ribose pyranase","",B1JR25,"","","",Yersinia pseudotuberculosis YPIII,502800,""
GL_002302,"C-reactive protein","",P02741,"1B09|1GNH|1LJ7|3L2Y|3PVN|3PVO|7PK9|7PKB|7PKD|7PKE|7PKF|7PKG|7PKH|7TBA|8WV4|8WV5","","",Homo sapiens,9606,""
GL_002680,"Glucokinase","",Q2KDT9,"","","",Rhizobium etli CFN 42,347834,""
GL_004661,"N-acetylmuramic acid 6-phosphate etherase","",Q2FK71,"","","",Staphylococcus aureus subsp. aureus USA300,367830,""
GL_003182,"Protein EARLY STARVATION 1, chloroplastic","",F4I9G2,"","","",Arabidopsis thaliana,3702,""
GL_003684,"D-ribose pyranase","",Q5FJ20,"","","",Lactobacillus acidophilus NCFM,272621,""
GL_000086,"Bark agglutinin I polypeptide B","",Q42372,"","","",Robinia pseudoacacia,35938,""
GL_001080,"Ricin B-like lectin R40C1","",Q10M12,"","","",Oryza sativa Japonica Group,39947,""
GL_004177,"D-ribose pyranase","",A4QDL6,"","","",Corynebacterium glutamicum R,340322,""
GL_000672,"Latrophilin Cirl","",B4KMZ1,"","","",Drosophila mojavensis,7230,""
GL_002995,"Endoglucanase A","",P10476,"","","",Cellvibrio japonicus Ueda107,498211,""
GL_002265,"Hemolysin-related protein","",Q9KTH2,"5V6C|5V6F|5V6K","","",Vibrio cholerae O1 biovar El Tor str. N16961,243277,""
GL_002502,"Hexokinase-1","",Q5RC71,"","","",Pongo abelii,9601,""
GL_000131,"C-type lectin BpLec","",P86970,"","","",Bothrops pauloensis,1042543,""
GL_003409,"D-ribose pyranase","",B5YY06,"","","",Escherichia coli O157:H7 str. EC4115,444450,""
GL_001626,"Glucoamylase 1","",P22861,"","","",Schwanniomyces occidentalis,27300,""
GL_003835,"ATP-dependent 6-phosphofructokinase","",A8MLY0,"","","",Alkaliphilus oremlandii OhILAs,350688,""
GL_003534,"Glucose-6-phosphate isomerase","",A2RNW8,"","","",Lactococcus cremoris subsp. cremoris MG1363,416870,""
GL_000686,"Lectin","BPA|BPL",P16030,"","LfDB0173","Gal",Bauhinia purpurea,3806,""
GL_000124,"C-type lectin BfL-2","",Q90WI7,"","","",Bungarus fasciatus,8613,""
GL_000324,"Collectin-12","",A5PMY6,"","","",Danio rerio,7955,""
GL_004233,"ATP-dependent 6-phosphofructokinase","",C1KVL8,"","","",Listeria monocytogenes serotype 4b str. CLIP 80459,568819,""
GL_004255,"Glucose-6-phosphate isomerase","",Q8YY05,"","","",Nostoc sp. PCC 7120 = FACHB-418,103690,""
GL_000952,"Probable L-type lectin-domain containing receptor kinase VI.1","",Q9SR87,"","","",Arabidopsis thaliana,3702,""
GL_005261,"PKHD-type hydroxylase YbiX","",B5YS96,"","","",Escherichia coli O157:H7 str. EC4115,444450,""
GL_003541,"ATP-dependent 6-phosphofructokinase","",Q7VRK9,"","","",Candidatus Blochmanniella floridana,203907,""
GL_004234,"ATP-dependent 6-phosphofructokinase","",Q71Z96,"","","",Listeria monocytogenes serotype 4b str. F2365,265669,""
GL_004755,"Autoinducer 2-binding protein LsrB","",Q8XAY9,"","","",Escherichia coli O157:H7,83334,""
GL_002853,"Vitronectin","",P04004,"1OC0|1S4G|1SSU|2JQ8|3BT1|3BT2|4K24|6O5E|7RJ9","","",Homo sapiens,9606,""
GL_002819,"Probable xyloglucan endotransglucosylase/hydrolase","",Q41542,"","","",Triticum aestivum,4565,""
GL_004925,"Peptidyl-glycine alpha-amidating monooxygenase","",P10731,"","","",Bos taurus,9913,""
GL_000770,"M1-1 protoxin","",P01546,"","","",Saccharomyces cerevisiae killer virus M1,12450,""
GL_001113,"Sialic acid-binding Ig-like lectin 11","",Q96RL6,"","","",Homo sapiens,9606,""
GL_003876,"ATP-dependent 6-phosphofructokinase","",C0MGJ9,"","","",Streptococcus equi subsp. zooepidemicus H70,553483,""
GL_005060,"Leucoanthocyanidin dioxygenase","",Q96323,"1GP4|1GP5|1GP6|2BRT","","",Arabidopsis thaliana,3702,""
GL_001311,"Beta-galactosidase","",A8GGN3,"","","",Serratia proteamaculans 568,399741,""
GL_004579,"Early E3 18.5 kDa glycoprotein","",P68979,"4E5X","","",Human adenovirus 6,10534,""
GL_000148,"C-type lectin domain family 14 member A","",Q8VCP9,"","","",Mus musculus,10090,""
GL_001275,"Beta-galactosidase","",Q7CIZ3,"","","",Yersinia pestis,632,""
GL_004085,"Glucose-6-phosphate isomerase","",Q3AXV8,"","","",Synechococcus sp. CC9902,316279,""
GL_002498,"Glucokinase","",Q668N7,"","","",Yersinia pseudotuberculosis IP 32953,273123,""
GL_001664,"Inter-alpha-trypsin inhibitor heavy chain H1","",P19827,"6FPY|6FPZ","","",Homo sapiens,9606,""
GL_005206,"PKHD-type hydroxylase BamMC406_5004","",B1YZQ0,"","","",Burkholderia ambifaria MC40-6,398577,""
GL_002314,"Hemagglutinin","",P03452,"1RU7|1RVX|1RVZ","","",Influenza A virus (A/Puerto Rico/8/1934(H1N1)),211044,""
GL_000829,"NKG2-E type II integral membrane protein","",Q07444,"","","",Homo sapiens,9606,""
GL_003177,"Glutenin, high molecular weight subunit DX5","",P10388,"","","",Triticum aestivum,4565,""
GL_003437,"Glucose-6-phosphate isomerase","",B8FK51,"","","",Desulfatibacillum aliphaticivorans,218208,""
GL_001550,"Glucans biosynthesis protein D","",Q8Z765,"","","",Salmonella enterica subsp. enterica serovar Typhi,90370,""
GL_001027,"Putative B-type lectin protein L288","",Q5UPX2,"","","",Acanthamoeba polyphaga mimivirus,212035,""
GL_002436,"Pentraxin-related protein PTX3","",P48759,"","","",Mus musculus,10090,""
GL_000038,"Agglutinin beta-2 chain","",P18672,"","","",Artocarpus integer,3490,""
GL_002280,"BEL beta-trefoil","",R4GRU9,"4I4X","","",Boletus edulis,36056,""
GL_004643,"Dolichol-phosphate mannosyltransferase subunit 1","",O70152,"","","",Mus musculus,10090,""
GL_000929,"Polypeptide N-acetylgalactosaminyltransferase 6","",Q5EA41,"","","",Bos taurus,9913,""
GL_003914,"ATP-dependent 6-phosphofructokinase","",A8AXW1,"","","",Streptococcus gordonii str. Challis substr. CH1,467705,""
GL_003358,"ATP-dependent 6-phosphofructokinase","",Q93LR4,"","","",Lysinibacillus sphaericus,1421,""
GL_003071,"AA9 family lytic polysaccharide monooxygenase B","",G2RB73,"","","",Thermothielavioides terrestris NRRL 8126,578455,""
GL_000946,"Probable L-type lectin-domain containing receptor kinase I.5","",Q9M1G4,"","","",Arabidopsis thaliana,3702,""
GL_004931,"PKHD-type hydroxylase ABAYE3291","",B0V4R8,"","","",Acinetobacter baumannii AYE,509173,""
GL_000128,"C-type lectin BML-1","",Q90WI6,"","","",Bungarus multicinctus,8616,""
GL_004037,"D-ribose pyranase","",B7JQF1,"","","",Bacillus cereus AH820,405535,""
GL_002537,"Hexokinase type 1","",Q9NFT9,"","","",Drosophila melanogaster,7227,""
GL_003055,"Exoglucanase-6A","",Q9C1S9,"1BVW|1GZ1|1OC5|1OC6|1OC7|1OCB|1OCJ|1OCN|2BVW|4I5R|4I5U","","",Humicola insolens,34413,""
GL_003087,"Lactose permease","",P02920,"1PV6|1PV7|2CFP|2CFQ|2V8N|2Y5Y|4ZYR|5GXB|6C9W|6VBG","","",Escherichia coli K-12,83333,""
GL_001418,"Cyclic beta-(1,2)-glucan synthase NdvB","",P20471,"","","",Sinorhizobium meliloti 1021,266834,""
GL_000326,"Collectin-12","",Q8K4Q8,"2OX9","","",Mus musculus,10090,""
GL_003614,"D-ribose pyranase","",A1TUV3,"","","",Paracidovorax citrulli AAC00-1,397945,""
GL_001527,"Glucans biosynthesis protein D","",B5RA57,"","","",Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,550538,""
GL_000482,"Galectin-10","",Q05315,"1G86|1HDK|1LCL|1QKQ|5XRG|5XRH|5XRI|5XRJ|5XRK|5XRL|5XRM|5XRN|5XRO|5XRP|5YT4|6A1S|6A1T|6A1U|6A1V|6A1X|6A1Y|6GKQ|6GKS|6GKT|6GKU|6GLW|6GLX|6L64|6L67|6L68|6L6A|6L6B|6L6C|6L6D|6QRN|8JAE","","",Homo sapiens,9606,""
GL_005238,"Prolyl 3,4-dihydroxylase TPA1","",P40032,"3KT1|3KT4|3KT7|3MGU|4NHK|4NHL|4NHM","","",Saccharomyces cerevisiae S288C,559292,""
GL_001019,"Pulmonary surfactant-associated protein A","",Q9TT06,"","","",Ovis aries,9940,""
GL_004770,"N-acetylmuramic acid 6-phosphate etherase","",A8F7W0,"","","",Pseudothermotoga lettingae TMO,416591,""
GL_001353,"Beta-galactosidase 7","",Q9SCV5,"","","",Arabidopsis thaliana,3702,""
GL_005178,"Procollagen lysyl hydroxylase and glycosyltransferase","",Q5UQC3,"6AX6|6AX7","","",Acanthamoeba polyphaga mimivirus,212035,""
GL_000713,"Lectin A","",Q7N561,"5ODU|5OFI|5OFX|5OFZ","","",Photorhabdus laumondii subsp. laumondii TTO1,243265,""
GL_000114,"C-type lectin","",D8VNS6,"","","",Cerberus rynchops,46267,""
GL_003025,"AA9 family lytic polysaccharide monooxygenase A","",Q0CEU4,"","","",Aspergillus terreus NIH2624,341663,""
GL_004642,"Antifungal protein ginkbilobin-like protein (Fragment)","",Q3I3X0,"","","",Picea abies,3329,""
GL_000457,"Galactose-binding lectin","",H2FH31,"5DUY|5F8S|5F8W|5F8Y|5F90","","",Crenomytilus grayanus,151218,""
GL_003713,"D-ribose pyranase","",Q83PJ1,"","","",Shigella flexneri,623,""
GL_004137,"Glucose-6-phosphate isomerase","",Q5PL07,"","","",Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,295319,""
GL_003763,"Glucose-6-phosphate isomerase","",B4TDK4,"","","",Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,454169,""
GL_001604,"Glucans biosynthesis protein G","",Q07WE1,"","","",Shewanella frigidimarina NCIMB 400,318167,""
GL_003453,"Glucose-6-phosphate isomerase","",Q2G7C4,"","","",Novosphingobium aromaticivorans DSM 12444,279238,""
GL_000889,"Polypeptide N-acetylgalactosaminyltransferase 10","",Q6P9S7,"","","",Mus musculus,10090,""
GL_002003,"E-selectin","",P98107,"","","",Bos taurus,9913,""
GL_004719,"N-acetylmuramic acid 6-phosphate etherase","",C1FLJ7,"","","",Clostridium botulinum A2 str. Kyoto,536232,""
GL_004657,"N-acetylmuramic acid 6-phosphate etherase","",Q9K6Z9,"","","",Halalkalibacterium halodurans C-125,272558,""
GL_000311,"Chitinase-3-like protein 1","",P30922,"1OWQ|2ESC","","",Bos taurus,9913,""
GL_002839,"Cellulose/chitin binding protein MT2041","",P9WLQ0,"","","",Mycobacterium tuberculosis CDC1551,83331,""
GL_001046,"Putative L-type lectin-domain containing receptor kinase I.10","",Q3E884,"","","",Arabidopsis thaliana,3702,""
GL_002736,"Xyloglucan endotransglucosylase/hydrolase protein 19","",Q9M0D1,"","","",Arabidopsis thaliana,3702,""
GL_001221,"Alpha-glucosidase","",O04931,"","","",Beta vulgaris,161934,""
GL_002291,"Superantigen-like protein 11 (Fragment)","",A8E1U5,"2RDG|2RDH","","",Staphylococcus aureus,1280,""
GL_001228,"Alpha-mannosidase 2","",Q24451,"1HTY|1HWW|1HXK|1PS3|1QWN|1QWU|1QX1|1R33|1R34|1TQS|1TQT|1TQU|1TQV|1TQW|2ALW|2F18|2F1A|2F1B|2F7O|2F7P|2F7Q|2F7R|2FYV|2OW6|2OW7|3BLB|3BUB|3BUD|3BUI|3BUP|3BUQ|3BVT|3BVU|3BVV|3BVW|3BVX|3CV5|3CZN|3CZS|3D4Y|3D4Z|3D50|3D51|3D52|3DDF|3DDG|3DX0|3DX1|3DX2|3DX3|3DX4|3EJP|3EJQ|3EJR|3EJS|3EJT|3EJU|6RPC|6RQZ|6RRH|6RRJ|6RRN|6RRU|6RRW|6RRX|6RRY|6RS0","","",Drosophila melanogaster,7227,""
GL_001890,"Xylitol-binding protein","",A0QYB3,"4RS3|5HKO","","",Mycolicibacterium smegmatis MC2 155,246196,""
GL_004371,"ATP-dependent 6-phosphofructokinase isozyme 1","",A8A720,"","","",Escherichia coli HS,331112,""
GL_002452,"Glucose 1-dehydrogenase","",O93715,"2CD9|2CDA|2CDB|2CDC","","",Saccharolobus solfataricus,2287,""
GL_000264,"Calreticulin","",P29413,"","","",Drosophila melanogaster,7227,""
GL_004970,"PKHD-type hydroxylase syc1482_d","",Q5N1Z8,"","","",Synechococcus elongatus PCC 6301,269084,""
GL_001300,"Beta-galactosidase","",A1JTC4,"","","",Yersinia enterocolitica subsp. enterocolitica 8081,393305,""
GL_003350,"Glucose-6-phosphate isomerase","",Q3A201,"","","",Syntrophotalea carbinolica DSM 2380,338963,""
GL_001617,"Glucans biosynthesis protein G","",Q6D6A8,"","","",Pectobacterium atrosepticum SCRI1043,218491,""
GL_003921,"ATP-dependent 6-phosphofructokinase","",Q180P4,"","","",Clostridioides difficile 630,272563,""
GL_005226,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","",Q811A3,"","","",Rattus norvegicus,10116,""
GL_003115,"Lysyl oxidase homolog 2","",B5DF27,"","","",Rattus norvegicus,10116,""
GL_003600,"ATP-dependent 6-phosphofructokinase","",Q4W9B8,"","","",Aspergillus fumigatus Af293,330879,""
GL_004012,"Glucose-6-phosphate isomerase","",B8EFD8,"","","",Shewanella baltica OS223,407976,""
GL_002042,"Lithostathine-1-beta","",P48304,"","","",Homo sapiens,9606,""
GL_004946,"Naringenin,2-oxoglutarate 3-dioxygenase","",Q06942,"","","",Malus domestica,3750,""
GL_002844,"Probable xyloglucan endotransglucosylase/hydrolase protein 27","",Q8LDS2,"","","",Arabidopsis thaliana,3702,""
GL_002932,"Endoglucanase A","",P22534,"","","",Caldicellulosiruptor saccharolyticus,44001,""
GL_004628,"Mannose-binding protein C","",Q66S37,"","","",Chlorocebus aethiops,9534,""
GL_002252,"HA-70","",Q8KHU9,"4LO4|4LO5|4LO6|4LO7|4LO8","","",Clostridium botulinum,1491,""
GL_000697,"Lectin (Fragment)","",C0HJM8,"","","",Allium cepa,4679,""
GL_001599,"Glucans biosynthesis protein G","",B7V3H1,"","","",Pseudomonas aeruginosa LESB58,557722,""
GL_004807,"N-acetylmuramic acid 6-phosphate etherase","",Q97MM1,"","","",Clostridium acetobutylicum ATCC 824,272562,""
GL_000690,"Lectin","",P16300,"","","",Phaseolus lunatus,3884,""
GL_001164,"Uncharacterized protein Mb1454","",P64850,"","","",Mycobacterium tuberculosis variant bovis AF2122/97,233413,""
GL_000532,"Glycoprotein 42","",Q1HVG2,"","","",Epstein-barr virus strain ag876,82830,""
GL_003276,"L-fucose mutarotase","",B7MZA0,"","","",Escherichia coli ED1a,585397,""
GL_000263,"Calreticulin","",Q7Z1E6,"","","",Bombyx mori,7091,""
GL_001945,"Jacalin-like lectin","",Q53J09,"6FLW|6FLY|6FLZ","","",Ananas comosus,4615,""
GL_005165,"Peptidyl-glycine alpha-amidating monooxygenase","",P19021,"","","",Homo sapiens,9606,""
